URL: /
Timestamp: Fri May 17 2024 15:53:21 GMT-0400 (Eastern Daylight Time)
::1 - - [03/Jun/2024:18:14:48 +0000] "GET /directors/Louis%20Leterrier HTTP/1.1" 200 535 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:15:02 +0000] "GET /directors/Louis%20Leterrier HTTP/1.1" 200 535 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:15:17 +0000] "GET /directors/Jon%20Favreau HTTP/1.1" 200 544 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:24:56 +0000] "GET /genres/Action HTTP/1.1" 200 158 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:24:59 +0000] "GET /genres/Comedy HTTP/1.1" 200 200 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:25:04 +0000] "GET /genres/Horror HTTP/1.1" 200 196 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:25:08 +0000] "GET /genres/Adventure HTTP/1.1" 200 214 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:29:41 +0000] "POST /users HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:30:11 +0000] "POST /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:30:16 +0000] "POST /users/ HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:33:43 +0000] "POST /users/ HTTP/1.1" 500 108 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:34:08 +0000] "POST /users/ HTTP/1.1" 500 108 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:34:21 +0000] "POST /users/ HTTP/1.1" 500 108 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:34:29 +0000] "POST /users/ HTTP/1.1" 500 109 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:35:42 +0000] "POST /users/ HTTP/1.1" 500 109 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:37:16 +0000] "POST /users/ HTTP/1.1" 201 164 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:37:51 +0000] "GET /users/User4 HTTP/1.1" 200 164 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:18:55:23 +0000] "PUT /users/User4 HTTP/1.1" 200 165 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:14:41 +0000] "DELETE /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:15:21 +0000] "DELETE /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:19:21 +0000] "DELETE /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:20:13 +0000] "DELETE /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:23:18 +0000] "DELETE /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:31:34 +0000] "DELETE /users/User4 HTTP/1.1" 500 43 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:36:51 +0000] "DELETE /users/User4 HTTP/1.1" 200 18 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:36:59 +0000] "GET /users HTTP/1.1" 201 550 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:37:20 +0000] "GET /users HTTP/1.1" 201 550 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:19:57:59 +0000] "POST /users/User3/movies/6656572676c29aee626387b8 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:20:00:23 +0000] "POST /users/User3/movies/6656572676c29aee626387b8 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:20:00:48 +0000] "POST /users/User3/movies/6656572676c29aee626387b8 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:20:10:14 +0000] "POST /users/User2/movies/6656572676c29aee626387b8 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:20:12:27 +0000] "POST /users/User2/movies/6656572676c29aee626387b8 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:20:13:12 +0000] "POST /users/User2/movies/6656572676c29aee626387b8 HTTP/1.1" 500 205 "-" "PostmanRuntime/7.37.3"
::1 - - [03/Jun/2024:20:26:24 +0000] "POST /users/User2/movies/6656572676c29aee626387b8 HTTP/1.1" 500 181 "-" "PostmanRuntime/7.37.3"
